ChemblID,smiles,docking score
CHEMBL273154,CCNC(C=Cc1ccc(O)c(OC)c1)=CC(=O)C=Cc1ccc(O)c(OC)c1,-9.869
CHEMBL344107,OCC12CC1C(CC2O)N1C=C(I)C(=O)NC1=O,-9.777
CHEMBL1316483,COc1ccc2oc(nc2c1)-c1ccc(C)c(NC(=O)Cc2ccc(Cl)cc2)c1,-9.772
CHEMBL3126300,Oc1cccc2OC(CCCCc3ccccc3)=CC(=O)c12,-9.772
CHEMBL120828,CCOP(=O)(OCC1OC(C=C1)N1C=C(C)C(=O)NC1=O)C(N)=O,-9.728
CHEMBL1308681,CCCN1Cc2cccc(C(=O)Nc3ccc(C)cc3)c2C1=O,-9.68
CHEMBL246583,N#CCSc1ncnc2n(Cc3cccnc3)ncc12,-9.645
CHEMBL1613087,COc1ccc(OC)c(Nc2ncnc3n(ncc23)-c2ccccc2)c1,-9.633
CHEMBL1464599,Clc1ccc(CN2C(=O)Nc3ccccc23)cc1,-9.603
CHEMBL155706,FC(F)(F)C(F)(F)C(F)(F)C1=C(Cc2ccc3ccccc3c2)C(=O)NN1,-9.598
CHEMBL2419264,OC(=O)C(Cc1ccc(O)cc1)NC(=O)c1nc(Cl)c2ccccc2c1O,-9.589
CHEMBL344114,NC(=O)N(O)C1CCCc2cc(CCc3ccccc3)ccc12,-9.587
CHEMBL2315259,CN1N=C(CC(=O)Nc2ccc(C#N)c(Cl)c2)c2ccccc2C1=O,-9.553
CHEMBL2356168,COc1ccc(NC(=O)CC2C(C)CN(C2=O)c2ccc(OC)cc2)cc1,-9.52
CHEMBL3690315,OC1CCC(=CC1)c1cccnc1Oc1ccc(Nc2nc3ccccc3s2)cc1,-9.493
CHEMBL408346,CCCCCCCCCC1=C(O)C(=O)c2ccccc2C1=O,-9.489
CHEMBL533577,FC(F)(F)c1ccc(Cl)c(NC(=O)CSc2nccn2C2CCCC2)c1,-9.46
CHEMBL14334,CCCCCC(O)C=CC1CCC(=O)N1CCCCCCC(O)=O,-9.448
CHEMBL3586629,Oc1ccccc1-c1nc(no1)-c1ccc2nc[nH]c2c1,-9.39
CHEMBL2024002,COc1cc(Nc2nccc(n2)N2CCCC(C2)C(=O)NCc2ccc(C)cc2)cc(OC)c1OC,-9.367
CHEMBL1543936,CC1Cc2ccccc2N1C(=O)CSc1nnc(COc2cccc(C)c2C)n1C,-9.346
CHEMBL1592760,O=C1N(C2CC2)c2ncncc2N=C1CCc1ccccc1,-9.343
CHEMBL1568328,COC(=O)c1cccc(NC(=O)CC2N(CCNC2=O)C(=O)Nc2cc(C)cc(C)c2)c1,-9.313
CHEMBL3677325,CN1C(=O)C=Cc2c(NC(=O)NC3CC(C)(Oc4ccccc34)C(F)F)cccc12,-9.312
CHEMBL516081,CC(C)CCC(NC(=O)c1cc2ccccc2cc1NC(=O)Nc1c(C)cc(C)cc1C)C(O)=O,-9.305
CHEMBL3330119,COc1ccc(CNc2nccc(n2)-c2cc(C(N)=O)c([nH]2)-c2cc(Cl)ccc2C)cc1,-9.286
CHEMBL239915,CN(CCCCCCC(O)=O)c1cnc(-c2ccccc2)c(n1)-c1ccccc1,-9.242
CHEMBL3250198,OC1CC(OC1C(O)=O)N1C=C(Br)C(=O)NC1=O,-9.241
CHEMBL1434788,Cc1ccccc1NC(=O)COC(=O)CCc1c[nH]c2ccccc12,-9.234
CHEMBL1986139,Clc1csc2ncnc(Nc3ccccc3)c12,-9.225
CHEMBL1093302,NCCN(Cc1nc2ccccc2[nH]1)C1CCCc2cccnc12,-9.197
CHEMBL2414804,OCC1C(O)C(O)C(O)CN1CCCCNC(=O)CC1CCCCC1,-9.172
CHEMBL3422377,Cc1occc1C(=O)NCCc1ccccc1O,-9.164
CHEMBL69341,CC1SC(=NC1=O)c1cnc2ccccc2c1,-9.163
CHEMBL1778179,COc1ccc(C=CC(=O)c2cccc(c2)-n2cc(nn2)C(C)=C)cc1O,-9.155
CHEMBL374217,NC1=NC(=O)N(CC=CCCP(O)(O)=O)C=C1,-9.151
CHEMBL1090118,Oc1cc(cc(c1O)N(=O)=O)-c1nc(no1)-c1ccc[n+]([O-])c1C(F)(F)F,-9.134
CHEMBL1258915,COCCNCc1cn(CC(=O)Nc2sc3CCCCc3c2C(N)=O)nc1C(F)(F)F,-9.134
CHEMBL1558771,Clc1cccc(Cl)c1CSCCNS(=O)(=O)c1ccc2OCCOc2c1,-9.124
CHEMBL415756,c1nc2cc(ccn2c1-c1ccccc1)-c1ccccc1,-9.108
CHEMBL3707395,CSc1ccc(cc1)C(=O)C=Cc1cc(C)c(OC(C)(C)C(O)=O)c(C)c1,-9.097
CHEMBL567727,NC(CC(=O)N1CCCC1c1nc(no1)-c1ncccn1)Cc1cc(F)c(F)cc1F,-9.093
CHEMBL147067,Oc1ccccc1C=CC(=O)c1ccccc1,-9.056
CHEMBL354792,COC(=O)CC(=O)c1ccc(O)c(O)c1O,-9.024
CHEMBL525542,O=C1CCC(CCc2ccc(cc2)-c2ccccc2)=NN1,-9.013
CHEMBL387919,OCC1OC(C(O)C1O)n1cnc2c(NCc3ccccc3Br)ncnc12,-9.009
CHEMBL3426928,CCCc1nc2c(C)cc(cc2n1S(=O)(=O)c1ccccc1Cl)-c1nc2ccccc2n1C,-8.993
CHEMBL1584770,CSc1oc(nc1S(=O)(=O)c1ccccc1)-c1ccc(F)cc1,-8.988
CHEMBL1481298,COc1ccccc1C(=O)N1CCN(CC1)C(=O)COc1cccc(C)c1,-8.984
CHEMBL1485058,Cc1cc(C)cc(OCC(=O)Nc2cccc(c2)C(O)=O)c1,-8.947
CHEMBL2153815,CC(=NNc1ncnc2ccccc12)C(O)=O,-8.94
CHEMBL260886,COc1cc(C=C2SC(NC2=O)=Nc2nsc3ccccc23)ccc1O,-8.933
CHEMBL3478948,CCCC1COCCN1Cc1ccc(cc1)C(O)=O,-8.916
CHEMBL229538,CCOC(=O)c1cnn(CC(O)c2ccccc2)c1NC(=O)Nc1cccc(Br)c1,-8.902
CHEMBL3323003,O=C(NCCCCN1CCN(CC1)c1ncnc2ccccc12)c1cn2ccccc2n1,-8.898
CHEMBL1760578,CCCNC(=O)c1ccc(cc1O)-n1cc(CCC(C)C)nn1,-8.837
CHEMBL207821,FC(F)(F)c1cccc(Nc2nnc(o2)-c2cccnc2CCc2ccccn2)c1,-8.833
CHEMBL1527007,Cc1cc(C)n2cc(COc3ccc4ccccc4c3)nc2n1,-8.828
CHEMBL3278651,CC(NC(=O)CI)C(=O)NC(CCC(O)=O)C(O)=O,-8.818
CHEMBL609235,Cc1ccccc1SCC1OC(C(O)C1O)n1cnc2c(NC3CCOC3)ncnc12,-8.8
CHEMBL525367,CCCCc1ccc(cc1)-c1ccc2c3Cc4cc(C(O)=O)c(N)cc4-c3[nH]c2c1F,-8.791
CHEMBL1450879,Cc1cc2nc(CCN(Cc3cccnc3)C(=S)Nc3ccccc3)[nH]c2cc1C,-8.78
CHEMBL58816,CC(NC(=O)C=C(C)C=CC=C(C)C=CC1=C(C)CCCC1(C)C)C(O)=O,-8.758
CHEMBL225612,OC(=O)c1ccc(Cl)cc1NC(=O)c1cccc(Br)c1,-8.754
CHEMBL321428,CCCC(C(O)c1ccc(O)cc1)N1CCC(O)(Cc2ccccc2)CC1,-8.745
CHEMBL91536,CC(C)(C)c1ccc(cc1)C1=Nc2ccccc2C(=O)O1,-8.719
CHEMBL1189094,CCc1cccc(NC(=N)Nc2ccccc2CC)c1,-8.711
CHEMBL2312428,CCCCCCCCNCc1cn(CCCN(C)C)c2ccccc12,-8.677
CHEMBL3290184,Oc1cc(C=CC(=O)Nc2cccc3ccccc23)ccc1F,-8.676
CHEMBL232446,OC1=C(N=C(NC1=O)c1cccs1)C(=O)NCc1ccc(Cl)c(Cl)c1,-8.671
CHEMBL1864289,Cc1cccc(CN2C=Nc3c(cnn3-c3ccc(Cl)cc3)C2=O)c1,-8.669
CHEMBL1509000,Cc1ccc(NC(=O)n2ncc3c(C)cccc23)cc1F,-8.669
CHEMBL1501596,Cc1ccc2nc(NC(=O)C3CCCN(C3)S(=O)(=O)c3c[nH]cn3)sc2c1,-8.649
CHEMBL3621778,Cc1ccc(NC(=O)COc2ccc(C=NNC(=O)c3ccncc3)cc2)cc1,-8.626
CHEMBL1622224,Fc1ccccc1C(=O)OCCN1CCCCC1,-8.592
CHEMBL1092849,OC(=O)C1=CN(Cc2ccc(cc2)-c2ccccc2)c2cnccc2C1=O,-8.572
CHEMBL2234153,Cc1ccc(Nc2nnc(Nc3nc(cs3)-c3ccc(Cl)cc3)s2)cc1,-8.564
CHEMBL1426507,COc1ccc(C)cc1NC(=O)CNC(c1ccccc1)c1ccccc1,-8.518
CHEMBL2315644,COc1cccc(F)c1-c1ccccc1C=NNCCN1CCCC(C1)C(O)=O,-8.516
CHEMBL1909435,Clc1cc(NC(=O)c2ccccn2)ccc1NC(=O)c1cccs1,-8.488
CHEMBL2418188,Cc1cc(C)n2nc(SCC3=CC(=O)c4ccccc4O3)nc2n1,-8.474
CHEMBL1703549,CC1=NN(CC(=O)N2CCN(CC2)c2ccccc2)C(=O)c2ccccc12,-8.471
CHEMBL1990993,Clc1ccc(C=NNC(=O)c2ccc3[nH]cnc3c2)cc1Cl,-8.457
CHEMBL484748,COc1ccccc1NC(=O)CCN1C(=S)SC(=Cc2cccc(Br)c2)C1=O,-8.439
CHEMBL146505,CC(C)NCC(O)COc1ccc(OCCn2nc3ccccc3n2)cc1,-8.433
CHEMBL494587,CC(CN1CCC(CC1)N1C(=O)Nc2c1cccc2F)NC(=O)C1CC1c1ccccc1,-8.424
CHEMBL3138869,NC(CS)C(=O)CCCCCC(O)=O,-8.413
CHEMBL148594,Fc1ccccc1S(=O)(=O)n1cccc1C(=O)NCc1ccccc1,-8.41
CHEMBL3482845,CN(CCO)C1CCN(CC1)c1ncc2N(CCc2n1)c1ccccc1,-8.406
CHEMBL33386,COCC1CN(C(=O)O1)c1ccc(CCCO)cc1,-8.398
CHEMBL1434668,Cc1cc(OCC(=O)Nc2c(oc3ccccc23)C(=O)c2ccccc2)cc(C)c1Cl,-8.395
CHEMBL46068,COCCN(N)c1nc2cc(OC)ccc2o1,-8.389
CHEMBL1940426,COc1ccc(cc1)C(=O)C1=C(O)C(=O)N(CCc2c[nH]c3ccccc23)C1c1ccccc1,-8.385
CHEMBL3489644,NC(=O)c1cc(n[nH]1)C1CCCN(CCOc2ccc(F)cc2)C1,-8.382
CHEMBL3286648,Cc1cc2ccccc2n1CCNC(=O)c1ccc(cc1)C#N,-8.353
CHEMBL1668969,CC1=CC(=O)Oc2cc(OCCCCCn3cncn3)ccc12,-8.35
CHEMBL1372515,CC(O)c1nc2ccccc2n1Cc1cc(C)ccc1C,-8.341
CHEMBL1605291,CCC1=C(C)NC(=NC1=O)N1CCN(CC1)c1ccccc1,-8.332
CHEMBL1729904,COc1ccccc1CN1CCNC(=O)C1CC(=O)NCC1CCOCC1,-8.331
CHEMBL2311082,Nc1ncnc2n(ccc12)C1OC(CO)C(O)C1O,-8.317
CHEMBL547398,FC(F)(F)c1ccc2[nH]c(nc2c1)-c1ccc(cc1)-c1cccc(NC(=O)Cc2c[nH]cn2)c1,-8.311
CHEMBL3104491,CC(=O)c1ccc(NC(=O)CSc2nnc(-c3ccccc3)n2CC=C)cc1,-8.299
CHEMBL272605,Cc1ccccc1CNc1cc(nc(n1)-c1ccc(cc1)S(C)(=O)=O)C(F)(F)F,-8.284
CHEMBL130102,OC(=O)c1ccccc1NC(=O)c1ccc(Oc2ccc3ccccc3c2)cc1,-8.279
CHEMBL3087144,Cc1cc(on1)C1CCCN1CC(O)COc1ccc(Cl)cc1,-8.279
CHEMBL3489231,Cc1nn(C)c(C)c1C1CCCN1Cc1nc(no1)-c1cccs1,-8.267
CHEMBL3483104,CC(=O)c1cc(CN2CC(CO)C(CN3CCC(O)CC3)C2)n(C)c1,-8.238
CHEMBL1700715,Cc1cccc(c1)N1Sc2ccccc2C1=O,-8.238
CHEMBL3492453,COc1ccccc1NC(=O)NCCCN1N=C2C=CC=CN2C1=O,-8.22
CHEMBL3103261,CCCCc1ccc2NC(=O)C(=O)c2c1,-8.212
CHEMBL323399,COC(=O)C1CNCCC1c1ccc(Cl)cc1,-8.199
CHEMBL2143884,FC(F)(F)c1cccc(c1)N1CCN(CC1)C(=S)Nc1nccc2cccnc12,-8.191
CHEMBL1730328,N=C(NOC(=O)Cc1ccccc1)c1ccncc1,-8.178
CHEMBL1591294,OC(CCN1C(CCCCCCC(O)=O)C(=O)NC1=O)C1CCCCC1,-8.162
CHEMBL1398235,CCCCOc1cccc(NC(=O)c2cccc(c2)C(=O)Nc2cccc(OCCCC)c2)c1,-8.153
CHEMBL1330428,CCCCN(C(=O)CCN1C(=O)Oc2ccccc12)c1ccccc1,-8.151
CHEMBL1342651,COCCOc1ccc(cc1NC(=O)c1ccccc1F)C(F)(F)F,-8.15
CHEMBL118881,Cc1nc2c([nH]1)C(=O)C(Nc1cccc(Cl)c1)=C(Cl)C2=O,-8.144
CHEMBL2003302,OC(Cn1ccnc1N(=O)=O)c1ccc(F)cc1,-8.143
CHEMBL1473604,COc1ccc(cc1)-c1noc(CCC(=O)N2CCN(CC2)c2ccccc2C)n1,-8.132
CHEMBL1408593,CN(Cc1ccco1)c1ncnc2ccc(cc12)-c1ccc2n(C)ccc2c1,-8.123
CHEMBL1980612,COc1ccc2[nH]c(CCNC(=O)c3cc(cc(c3)N(=O)=O)N(=O)=O)cc2c1,-8.121
CHEMBL1095364,COc1ccc(Cn2c(nc3ccccc23)C2CCCN(C2)C(C)C)cc1,-8.117
CHEMBL1360221,CC(C)C(=O)Nc1ccc(cc1)C(=O)NNC(=O)CCCOc1ccc(Cl)cc1Cl,-8.105
CHEMBL169675,O=C(CCc1ccccc1)Nc1cc2c(c[nH]1)nc1ccccc21,-8.097
CHEMBL1336013,O=C(Nc1cccc2ccccc12)N1N=CCC1c1ccccc1,-8.089
CHEMBL1889977,CCN1C(=S)SC(=CC=CN(C)c2ccccc2)C1=O,-8.069
CHEMBL1441245,CC(C)CC(NC(=O)N1CCn2c1nc1ccccc21)C(=O)NCc1ccc2OCOc2c1,-8.042
CHEMBL2009125,CCN1CCC(O)(C=Cc2ccc(Cl)c(Cl)c2)C(C1)C(=O)C=Cc1ccc(Cl)c(Cl)c1,-8.027
CHEMBL2152946,OCC(O)COc1ccc2CCc3cc(Nc4ccc(F)cc4F)ccc3C(=O)c2c1,-8.026
CHEMBL3182343,CC(C)(C)C(=O)OCOC(=O)C1N2C(SC1(C)C)C(NC(=O)C(N)c1ccccc1)C2=O,-8.012
CHEMBL1891076,O=C(CCC(=O)NNC(=O)Cc1ccccc1)NCc1ccccc1,-8.011
CHEMBL1325583,COCC(=O)N1CCCC(C1)C(=O)c1ccc(c(F)c1)-c1ccccc1,-8.01
CHEMBL1860691,CN(CCC#N)Cc1coc(n1)-c1cccc2ccccc12,-8.003
CHEMBL3469633,COc1ccc(CS(=O)(=O)CC(=O)NCc2ccccc2F)cc1F,-7.998
CHEMBL1090379,OC(=O)C(CC#Cc1cccc(F)c1)NC(=O)c1ccc2ccccc2c1,-7.996
CHEMBL1443378,CC(CC1COCCO1)C(=O)Nc1cc(C)ccc1C,-7.985
CHEMBL2180821,Oc1ccc(CCCCCS(F)(=O)=O)cc1,-7.965
CHEMBL2164304,O=C(COc1cccc(Oc2ccccc2)c1)Nc1cccc(c1)C#N,-7.961
CHEMBL9479,C(C1CCN(CC1)c1ccc(cc1)C1=NCCN1)c1ccc(cc1)C1=NCCN1,-7.96
CHEMBL403876,COc1cc(C=NNC(=O)c2ccc(O)c(Cl)c2)ccc1OCc1ccc(cc1)C(F)(F)F,-7.956
CHEMBL1334058,Clc1cccc(c1)C(=O)NNC(=O)C1CCC1,-7.953
CHEMBL511754,Cc1cc(NC(=O)c2ccccc2Cl)c2cc(NC(=O)Nc3ccc(F)c(Cl)c3)ccc2n1,-7.949
CHEMBL3688583,CC(O)CNS(=O)(=O)Cc1ccccc1-c1ccc(c(F)c1)-c1cnc(N)cn1,-7.939
CHEMBL90723,COc1cc2ncnc(NC(=O)c3ccccc3)c2cc1OC,-7.931
CHEMBL3494927,CC(C)NC(=O)C(N1CCn2c(C1)nnc2C1CC1)c1ccccc1,-7.93
CHEMBL1968455,O=C1C(Cc2ccccc2)NC(=NC#N)N1CCc1c[nH]c2ccccc12,-7.925
CHEMBL259213,Cc1ccccc1NC(=O)c1csc(n1)-c1cccnc1,-7.924
CHEMBL1668981,CC1=CC(=O)Oc2cc(OCCCCCOc3ccc4C(C)=CC(=O)Oc4c3)ccc12,-7.912
CHEMBL248416,COC(=O)C(CNCc1ccc(C)cc1C)NC(=O)CNC(=O)c1cccc(c1)C(F)(F)F,-7.911
CHEMBL250857,COC(=O)c1ccccc1NC(=O)c1ccc(Cl)cc1,-7.897
CHEMBL3098848,NS(=O)(=O)Cc1ccc(NC(=O)C2CCC=CC2)cc1,-7.893
CHEMBL548595,CN1CC=C(C1)c1c[nH]c2ccc(OC(=O)c3ccccc3)cc12,-7.892
CHEMBL565058,OC(CSc1ccccc1)CN1CCC(O)(CC1)c1ccc(Cl)c(c1)C(F)(F)F,-7.886
CHEMBL1299327,CC(C)c1ccc(NC(=O)C(N2CCOCC2)c2ccccc2)cc1,-7.884
CHEMBL3693240,CS(=O)(=O)c1c(F)cc(NC(=O)c2ccc(Cl)cn2)cc1C1(CF)N=C(N)OC2CC12,-7.88
CHEMBL15458,CCOc1cc(Cn2c(CC)nc3c(C)cc(C)nc23)ccc1OC(C(O)=O)c1ccccc1,-7.853
CHEMBL1485802,Clc1ccc(CC(=O)NC2CCCCCC2)cc1Cl,-7.85
CHEMBL1428744,CCOc1ccccc1NC(=O)Nc1cc(OC)ccc1OC,-7.845
CHEMBL3397765,FC(F)(F)c1ccc(NC(=O)c2cc(Cl)ccc2OC(=O)c2ccc(cc2)C(F)(F)F)cc1,-7.841
CHEMBL1683000,Cc1ccccc1-c1nc2ccc(cc2[nH]1)C(=O)Nc1ccc2ccccc2n1,-7.84
CHEMBL1537831,Cc1ccc(NC(=O)c2cc(ccc2Cl)S(=O)(=O)c2ccccc2)cc1,-7.836
CHEMBL36160,CCNc1nc(NC(=O)CC2CCCCC2)nc2n(cnc12)C1OC(CO)C(O)C1O,-7.82
CHEMBL1893111,Cc1nn(CSc2c(F)c(F)c(F)c(F)c2F)c(C)c1N(=O)=O,-7.819
CHEMBL1878077,COc1cc(OC)cc(c1)-c1noc(n1)-c1csc(n1)C1CC(O)C(CO)O1,-7.815
CHEMBL2136223,CC(=O)CCC(=O)CNC(=O)CCC1OC(C(O)C1O)N1C=CC(=O)NC1=O,-7.812
CHEMBL1414608,O=C(CSc1cccs1)Nc1cccc2ccccc12,-7.81
CHEMBL593357,CC1CC(=O)C=C(C1)Nc1ccc(cc1)C(F)(F)F,-7.8
CHEMBL1623428,C(NCc1ccco1)C1CC2CC1C=C2,-7.792
CHEMBL223712,CN(C)CCNc1cc(nc2ccc(F)cc12)-c1ccc(cc1)C(F)(F)F,-7.788
CHEMBL1507241,CC1=C(C)CC(C(C1)C(O)=O)C(=O)c1ccc(C)cc1,-7.769
CHEMBL2272622,COc1cc(OC)nc(n1)C(O)c1c(F)cccc1NS(=O)(=O)C(F)F,-7.768
CHEMBL250006,CC1N(CCc2c1nc(n2C)C(F)(F)F)C(=O)CC(N)Cc1cc(F)ccc1F,-7.765
CHEMBL240913,Fc1ccc(Cn2cc(C=C3N4CCC(CC4)C3=O)c3ccccc23)cc1,-7.763
CHEMBL242141,CCS(=O)(=O)Nc1ccc(cc1)-c1ccc(cc1)C(F)(F)F,-7.758
CHEMBL1549558,Cc1cc(C(=O)Nc2ccccc2C)c2ccccc2n1,-7.752
CHEMBL205432,CC(CN1CCc2cc(F)ccc12)NC(=O)C(CC1CCCCC1)Nc1nc2ccc(Cl)cc2o1,-7.713
CHEMBL1573445,FC(F)(F)C1=CC(=O)N=C(N1)SCc1cccc2ccccc12,-7.699
CHEMBL567814,COc1cccc(Nc2ncnc3ccc(NC(=S)Nc4ccc(Br)cc4)cc23)c1,-7.686
CHEMBL253924,CC(C)(Oc1ccc(CNC(=O)Cc2ccc(cc2)-c2ccc(Cl)cc2)cc1)C(O)=O,-7.673
CHEMBL107919,COc1cc(OC)cc(c1)-c1cc(on1)N(CCCN1CCCCCC1)Cc1ccc2OCOc2c1,-7.672
CHEMBL500413,COC(C)(C)C(O)CCC(C)=CCCC(C)=CCCC(C)=O,-7.655
CHEMBL2326602,COc1cccc(OC)c1-c1cnnc(NCc2nc3cc(O)ccc3s2)n1,-7.654
CHEMBL1471473,COc1ccc(NP(=O)(Oc2cccc(C)c2)Oc2cccc(C)c2)cc1OC,-7.648
CHEMBL2397746,OC1=COC(COCc2ccccc2)=CC1=O,-7.635
CHEMBL2289507,CS(=O)(=O)Oc1cccc(n1)S(=O)(=O)C1CCCC1,-7.634
CHEMBL381527,COc1cccc(CCC(=O)Nc2cc(OC)c(NC(=O)Nc3cnc(cn3)C#N)cc2Cl)c1,-7.625
CHEMBL1701519,OC(=O)C1CCC1C(=O)Nc1nc(cs1)-c1ccc(Cl)s1,-7.617
CHEMBL1797736,O=C(CCc1ccccc1)C1Cc2c(OC1=O)ccc1ccccc21,-7.615
CHEMBL1879497,CCc1nc2ccc(cn2c1N(C)Cc1ccc(OC)cc1)C(=O)NCC1CCCCC1,-7.596
CHEMBL1544031,OC(COCc1cccs1)CN1CCN(CC1)c1ccccn1,-7.591
CHEMBL1767216,CN(C)c1ccc(C=CC(=O)C=Cc2ccc(O)cc2)cc1,-7.586
CHEMBL486913,Oc1ccccc1CCC1=NOC(Cc2ccc(F)cc2)C1,-7.579
CHEMBL3454522,COC(=O)C(NC(=O)c1cc(C)ccc1C)c1cccnc1,-7.574
CHEMBL1875544,CCC1CN(C(=O)Nc2cc(OC)cc(OC)c2)c2ccccc2S1,-7.552
CHEMBL135434,OC(=O)CCCCCCOc1cc(cc(n1)-c1ccccc1)-c1ccccc1,-7.55
CHEMBL3675792,COCCOc1ccc(nc1)-c1nc2ccc(OC(F)(F)F)cc2[nH]1,-7.541
CHEMBL2179830,CNc1ccc(cn1)-c1nn(C2CCCN(C2)C(=O)C=C)c2ncnc(N)c12,-7.534
CHEMBL3087405,CC(=NN1C(N)=CC(N)=C(C#N)C1=O)C1=Cc2c(OC1=O)ccc1ccccc21,-7.531
CHEMBL582562,COc1ccc(CC(C)NCC(O)c2cccc(Br)c2)cc1,-7.526
CHEMBL3325839,Clc1cc2nc(Cc3ccc(Br)cc3)[nH]c2cc1Cl,-7.504
CHEMBL419163,Oc1c(CN2CCCC2)cc(NC(=O)C=Cc2ccccc2)cc1CN1CCCC1,-7.49
CHEMBL1500859,Cc1ccc2cccc(SCC(=O)Nc3ccc(F)cc3)c2n1,-7.49
CHEMBL287713,CCCCCCCC(O)(C(N)=O)c1ccccc1,-7.485
CHEMBL1902840,S=C(Nc1cccnc1)N1CCCCC1,-7.482
CHEMBL1606119,CCOc1cccc(c1)C(=O)Nc1cc(ccc1C)-c1nn2c(C)nnc2s1,-7.475
CHEMBL492041,COc1ccc(C=CC(=O)c2cccc(c2)N2CCCCC2)c(OC)c1,-7.468
CHEMBL1860828,COC(=O)C1CCN(Cc2coc(n2)-c2ccc(O)cc2)CC1,-7.466
CHEMBL104309,NCCCCCNC(=O)CN1CCCCC(NC(=O)c2ccc(cc2)-c2ccccc2)C1=O,-7.457
CHEMBL1612924,Cc1cc(Cl)cc(C)c1OCCCCn1ccnc1,-7.449
CHEMBL48050,CCN(CC)C(=O)C=C(C)c1ccc(OC(C)c2ccccc2)cc1,-7.448
CHEMBL2206829,OC1CNC(CNCC2CCN(Cc3ccccc3)CC2)C1O,-7.438
CHEMBL3495008,CC(Nc1cccc(CN2CCOC2=O)c1)C(=O)Nc1ccccc1F,-7.436
CHEMBL234279,NC(=N)NC(=O)c1ccccc1-c1nc2cc(ccc2[nH]1)N(=O)=O,-7.431
CHEMBL391350,CCCC(=O)NCCc1c[nH]c2c(C)cc(OC)cc12,-7.425
CHEMBL134217,Clc1ccc(cc1)C(=O)c1cccc(c1)C1=NCCN1,-7.413
